identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
1353769,A9108,ROLL 20/31,Communist printed propaganda in Western Australia,1943 - 1950,1943,1950,Open with exception,Canberra,False,0
1353770,A9108,ROLL 20/44,French Embassy,1948 - 1951,1948,1951,Open with exception,Canberra,False,0
1353776,A9108,ROLL 16/31,Communist Party of Australia - Ill health of leading members,1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1353779,A9108,ROLL 16/14,Aliens arrested by police - Information passed to official representatives of foreign countries,1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1353780,A9108,ROLL 16/13,Communist Party of Australia - State election activities,1950 - 1952,1950,1952,Open with exception,Canberra,False,0
1353783,A9108,ROLL 16/11,May Day delegation to USSR 1952,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353785,A9108,ROLL 16/10,Pro-Indonesian activities in the Port Moresby area among likely alien natives from Dutch New Guinea,1952 - 1952,1952,1952,Open with exception,Canberra,True,8
1353792,A9108,ROLL 20/25,Communist penetration and control of other organisations in South Australia,1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1353795,A9108,ROLL 16/9,Australian firms trading with Czechoslovakia,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353797,A9108,ROLL 16/16,"""Document of Terror"" found on body of Red Polish NKVD Officer, W C Wentworth (MP)",1952 - 1953,1952,1953,Open with exception,Canberra,True,54
1353798,A9108,ROLL 16/22,May Day celebrations 1952,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353799,A9108,ROLL 20/20,Communistic printed propaganda in Tasmania,1943 - 1950,1943,1950,Open with exception,Canberra,False,0
1353800,A9108,ROLL 20/21,Communism in Trade Unions - Tasmania,1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1353802,A9108,ROLL 20/22,Communistic printed propaganda in South Australia,1943 - 1951,1943,1951,Open with exception,Canberra,True,104
1353806,A9108,ROLL 16/18,Communist front organisations in Australia - Information for SIFE,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353811,A9108,ROLL 16/17,Anti-migration propaganda,1952 - 1952,1952,1952,Open with exception,Canberra,True,24
1353814,A9108,ROLL 16/3,Chinese seamen - Degree of contact with communist machine in Australia,1952 - 1952,1952,1952,Open with exception,Canberra,True,7
1353815,A9108,ROLL 16/2,"Letters in chinese received by Cummins and Campbell, Cairns",1952 - 1952,1952,1952,Open with exception,Canberra,True,19
1353816,A9108,ROLL 16/1,Galvin metal trades margin decision - Protests etc,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1353818,A9108,ROLL 16/4,"""Peace Groups"" - Formation among professional men, artists, scientists, authors, etc",1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1353819,A9108,ROLL 20/7,Communism printed propaganda in Victoria,1943 - 1951,1943,1951,Open with exception,Canberra,False,0
1353820,A9108,ROLL 20/2,Australian Communist Party - Printed propaganda,1948 - 1951,1948,1951,Open with exception,Canberra,False,0
1353823,A9108,ROLL 20/3,Communistic meetings and debates in Victoria,1950 - 1951,1950,1951,Open with exception,Canberra,False,0
1353825,A9108,ROLL 20/26,Communism in Trade Unions - South Australia,1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1353829,A9108,ROLL 16/26,Germ warfare - Korea - Press cuttings - Guardian etc,1952 - 1953,1952,1953,Open with exception,Canberra,True,163
1353832,A9108,ROLL 16/27,Germ warfare - Korea - Press cuttings - Guardian etc,1952 - 1952,1952,1952,Open with exception,Canberra,True,166
1362539,A9108,ROLL 16/20,Film Division - Department of the Interior,1952 - 1959,1952,1959,Open with exception,Canberra,False,0
1362542,A9108,ROLL 16/24,Communism within alien communities. Information from Giuseppe Perna,1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1362543,A9108,ROLL 16/7,Communists - Shepparton area,1952 - 1952,1952,1952,Open with exception,Canberra,True,12
1362544,A9108,ROLL 16/8,Olinda Film Festival,1952 - 1952,1952,1952,Open with exception,Canberra,True,35
1362545,A9108,ROLL 16/5,Airlines Security Officers Conference - Sydney - 10th March 1952 to 12th March 1952,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1362546,A9108,ROLL 16/25,"Vegh, Jules - Employment in Australia",1952 - 1958,1952,1958,Open with exception,Canberra,False,0
1362547,A9108,ROLL 16/15,Industrial disruption in South Australia. Monthly list of strikes,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1362548,A9108,ROLL 20/30,Communist Marx School and educational activities in Western Australia,1943 - 1951,1943,1951,Open with exception,Canberra,False,0
1362549,A9108,ROLL 20/49,Budapest Radio,1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1362550,A9108,ROLL 20/50,Communist activities amongst British (UK) Seamen,1951 - 1951,1951,1951,Open with exception,Canberra,False,0
1362551,A9108,ROLL 17/2,Third World Peoples Congress for Peace - Vienna - December 1952,1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1362552,A9108,ROLL 17/3,Third World Peoples Congress for Peace - Vienna - December 1952,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1362554,A9108,ROLL 20/52,New Zionist Organisation - United Revisionist,1942 - 1946,1942,1946,Open with exception,Canberra,True,125
1362555,A9108,ROLL 16/62,Third World Peoples Congress for Peace - Vienna - December 1952,1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1362556,A9108,ROLL 17/1,Third World Peoples Congress for Peace - Vienna - December 1952,1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1362557,A9108,ROLL 16/19,International Conference of Doctors and Health Specialists - Italy - May 1952,1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1363972,A9108,ROLL 16/55,Contact between ASIO Office and the Press [1 cm],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1363974,A9108,ROLL 20/58,Russian films [1 cm],1928 - 1951,1928,1951,Open with exception,Canberra,False,0
1363976,A9108,ROLL 20/59,Soviet printed propaganda circulating in Australia [0.5 cm],1949 - 1950,1949,1950,Open with exception,Canberra,False,0
1363977,A9108,ROLL 16/36,Communist Party of Australia - W C Wentworth (MP) - Draft Bill to afford protection against the operations of communists and communist organisations [1 cm],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363978,A9108,ROLL 16/37,South Yarra Book Stall [5 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363979,A9108,ROLL 20/64,Communism in Czechoslovakia [0.5 cms],1948 - 1951,1948,1951,Open with exception,Canberra,False,0
1363980,A9108,ROLL 16/38,Perry Engineering Company [4 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363981,A9108,ROLL 17/16,Demonstation by Italian migrants - Sydney 30/10/52 [1.5 cms],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1363982,A9108,ROLL 16/39,"Communism - Cobden, Victoria [2 pages]",1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363983,A9108,ROLL 20/63,Polish community [2 cms],1942 - 1950,1942,1950,Open with exception,Canberra,False,0
1363984,A9108,ROLL 16/40,Snowy Mountains Hydro Electric Authority - Appointment of security officer [1 cm],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363985,A9108,ROLL 16/41,International Trade Fair - Leipzig - September 1952 [4 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363986,A9108,ROLL 17/41,"Survey - Daintree, Mossman - Port Douglas [10 pages]",1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1363987,A9108,ROLL 16/42,Modified Playfair Code - Feldt Method - Compromisation [6 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363988,A9108,ROLL 17/39,Survey - Bowen [10 pages],1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1363989,A9108,ROLL 16/43,Leakage of Information Salisbury Hotel - Loose talk by employees- Department of Supply [4 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363990,A9108,ROLL 20/18,Australian Communist Party - activities at Port Pirie [3 pages],1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1363991,A9108,ROLL 17/10,"Three Australian Airmen released from Canton Public Safety Prison, 12 August 1952 [0.5 cms]",1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363992,A9108,ROLL 17/13,Seals used by Commonwealth Investigation Service [4 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363993,A9108,ROLL 20/17,Communistic public meetings and debates in South Australia [2cms],1944 - 1951,1944,1951,Open with exception,Canberra,False,0
1363994,A9108,ROLL 16/44,Arundle Trading Co Pty Ltd [3 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363995,A9108,ROLL 17/12,Chinese clothing subscription list [0.5cms],1952 - 1952,1952,1952,Open with exception,Canberra,True,28
1363996,A9108,ROLL 20/29,Subiaco Lower prices committee [1 page],1948 - 1948,1948,1948,Open,Canberra,False,0
1363997,A9108,ROLL 17/6,"Wentworth, W C MP - Tribune articles - Rum Jungle Uranium Field [0.5cms]",1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363998,A9108,ROLL 16/45,Prime Minister's Visit - Queensland - Communist activity at public meting 15 July 1952 [8 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1363999,A9108,ROLL 17/38,Survey - Ayr - Town and shire [5 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1364000,A9108,ROLL 20/32,"Native Rights League, Western Australia [7 pages]",1947 - 1948,1947,1948,Open,Canberra,False,0
1364001,A9108,ROLL 16/46,Motor Vehicle - XG 010 [7 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364002,A9108,ROLL 16/47,Pan Pacific Conference of Women [14 pages],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364003,A9108,ROLL 17/40,Survey - Cairns [1cm],1949 - 1951,1949,1951,Open with exception,Canberra,False,0
1364004,A9108,ROLL 17/42,Survey - Heberton - Town and shire [10 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1364005,A9108,ROLL 20/12,Communism - penetration and control of organisations in Victoria [13 pages],1943 - 1949,1943,1949,Open,Canberra,False,0
1364006,A9108,ROLL 17/37,Caruana [0.5cm],1940 - 1958,1940,1958,Open with exception,Canberra,False,0
1364007,A9108,ROLL 20/36,"Communism in Trade Union, Northern Territory [6 pages]",1950 - 1950,1950,1950,Open,Canberra,False,0
1364008,A9108,ROLL 17/36,Summit [5 pages],1949 - 1950,1949,1950,Open with exception,Canberra,False,0
1364009,A9108,ROLL 16/48,Junior Chamber International - 1952 World Congress - Melbourne Sept 6th to 14th [8 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364010,A9108,ROLL 16/49,Current Affairs Bulletin [9 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364011,A9108,ROLL 17/34,"Headquarters, Miscellaneous files [0.5cm]",1949 - 1952,1949,1952,Open with exception,Canberra,False,0
1364013,A9108,ROLL 16/50,Conference for trade and friendship with Asian nations [15 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364014,A9108,ROLL 16/51,Special Overseas Committee - Canberra [12 pages],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364015,A9108,ROLL 17/33,Chinese community - Darwin NT [2 pages],1953 - 1953,1953,1953,Open with exception,Canberra,True,4
1364016,A9108,ROLL 16/52,Export of strategic metals from Nauru [3 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364017,A9108,ROLL 17/28,Theft from northern camp [7 pages],1953 - 1953,1953,1953,Open with exception,Canberra,False,0
1364018,A9108,ROLL 16/53,"Ahern, Harold Daniel (MLC NSW) - Interview with Assistant Director NSW in connection with desire to contact ASIO [5 Pages]",1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364019,A9108,ROLL 17/32,Reported Indonesian landing in Dutch New Guinea [4 pages],1953 - 1953,1953,1953,Open with exception,Canberra,False,0
1364020,A9108,ROLL 17/14,Suspected sabotage - Department of Mines SA [1 page],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364021,A9108,ROLL 16/56,Citizens' Conference for Peace and Disarmament - July 1952 [14 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364022,A9108,ROLL 16/57,Inquiry into fault in teleprinter circuits out of Canberra [2 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364023,A9108,ROLL 16/60,Communist Party of Australia - Review from 15 Nov 1949 to 15 Jan 1950 [18 pages],1949 - 1950,1949,1950,Open with exception,Canberra,False,0
1364024,A9108,ROLL 17/11,"Conference of the Union Socialist Writers, Moscow 1952 [0.5cm]",1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364025,A9108,ROLL 17/19,International conference of social work [0.5cm],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364026,A9108,ROLL 17/21,General knowledge circulating at Garden Island regarding Naval movements [4 pages],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364027,A9108,ROLL 17/22,"Registration of communists questions in the Federal Parliament, Canberra [8 pages]",1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364028,A9108,ROLL 16/58,Standard Telecommunications Laboratory Ltd England - Plan for laboratory security arrangements [0.5cm],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364029,A9108,ROLL 17/23,"Berlin Marketing Council, London [10 pages]",1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364030,A9108,ROLL 16/59,Communism in Greece [2 pages],1952 - 1952,1952,1952,Open with exception,Canberra,True,4
1364031,A9108,ROLL 17/15,Submarines landing between Darwin and Arnhem Land [3 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364032,A9108,ROLL 16/61,"Powder Magazine - Middle Harbour, Sydney NSW [3 pages]",1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364033,A9108,ROLL 17/5,"Metro House, Melbourne [5 pages]",1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364034,A9108,ROLL 17/9,New Zealand Youth Carnival 1953 [5 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364035,A9108,ROLL 17/4,Neo-Fascism in Italy [7 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364036,A9108,ROLL 16/34,Communist Party of Australia - Action against police forces and security services [6 pages],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364037,A9108,ROLL 17/8,"Federated Clerks' Union - Delegates alleged search of room at Ainslie Rex Hotel, Canberra [0.5cm]",1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364038,A9108,ROLL 16/33,"Commonwealth Aircraft Corporation Pty Ltd Lidcombe, NSW [2 pages",1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364039,A9108,ROLL 17/7,International list of persons known to be or suspected of being engaged in the illicit traffic of narcotic drugs [4 pages],1952 - 1953,1952,1953,Open with exception,Canberra,True,5
1364040,A9108,ROLL 16/35,"Kardross, John - Assistance to ASIO - Letter from Robson, EM MLA - forwarded by Hon Harrison, E J [4 pages]",1952 - 1952,1952,1952,Open,Canberra,False,0
1364041,A9108,ROLL 17/24,Production of travel films in Australia by overseas interests [9 pages],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364042,A9108,ROLL 17/25,Provision of Northern Territory maps to the public [7 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364043,A9108,ROLL 17/35,Appleman [1cm],1948 - 1948,1948,1948,Open,Canberra,False,0
1364044,A9108,ROLL 17/26,"Letter from Austrian migrant in Australia - Published in Austrian communist newspaper ""Wahrheit"" [8 pages]",1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364045,A9108,ROLL 17/18,Polish espionage in Australia [2 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364046,A9108,ROLL 17/27,"'That All May Learn"" - Pro-communist film [11 pages]",1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364047,A9108,ROLL 17/29,Japanese activities in Australia [30 pages],1939 - 1955,1939,1955,Open with exception,Canberra,True,8
1364048,A9108,ROLL 17/17,Pan Yu Jen - Entry into New Guinea for business purposes [8 pages],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364049,A9108,ROLL 17/30,Allegations of gold smuggling by Chinese in Darwin NT [2 pages],1953 - 1953,1953,1953,Open with exception,Canberra,True,5
1364050,A9108,ROLL 17/20,Conference of Indonesian Youth 1952 - 'Pemuda Rakjat' [6 pages],1952 - 1953,1952,1953,Open with exception,Canberra,False,0
1364051,A9108,ROLL 17/31,Liaison between Australian and USSR scientists [3 pages],1953 - 1953,1953,1953,Open with exception,Canberra,False,0
1364052,A9108,ROLL 17/43,Survey - Mackay [20 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1364053,A9108,ROLL 16/54,Visit to New Zealand of Director B1 - Report [1cm],1952 - 1952,1952,1952,Open with exception,Canberra,False,0
1364054,A9108,ROLL 17/44,"Survey - Malanda, Millaa Millaa, Peeramon, Tarzali, Yungaburra - (Shire of Eacham) [9 pages]",1950 - 1950,1950,1950,Open with exception,Canberra,True,11
1364055,A9108,ROLL 17/45,"Survey - Mareeba, Chillagoe, Dimbulah, Mt Mulligan - (Shire of Woothakata) [50 pages]",1950 - 1950,1950,1950,Open with exception,Canberra,True,33
1368601,A9108,ROLL 17/66,Australian Communist Party - Reports of meetings [3cms],1932 - 1951,1932,1951,Open with exception,Canberra,True,253
1368606,A9108,ROLL 17/67,Australian Communist Party - Strength and condition of membership [1cm],1944 - 1951,1944,1951,Open with exception,Canberra,False,0
1368610,A9108,ROLL 17/65,Unification [1cm],1951 - 1951,1951,1951,Open with exception,Canberra,False,0
1368614,A9108,ROLL 17/60,Screenprintz Pty Ltd [4 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1368617,A9108,ROLL 17/61,Shalimar Cafe [4 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1368621,A9108,ROLL 17/62,Kay [7 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1368626,A9108,ROLL 17/63,Tustane [8 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1368629,A9108,ROLL 17/48,Survey - Atherton (town and shire) [10 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1368637,A9108,ROLL 17/52,Vita Foods Supply Pty Ltd @ PDF Stores @ Producers Dried Fruit Co [1cm],1941 - 1955,1941,1955,Open with exception,Canberra,False,0
1368644,A9108,ROLL 17/49,Ausonia Travel Agency [14 pages],1949 - 1951,1949,1951,Open with exception,Canberra,True,14
1368646,A9108,ROLL 17/51,Hutnyk [1cm],1949 - 1956,1949,1956,Open with exception,Canberra,False,0
1368650,A9108,ROLL 17/64,Ruwolts Charles Pty Ltd [1cm],1950 - 1951,1950,1951,Open with exception,Canberra,False,0
1368657,A9108,ROLL 17/47,Survey - Cape York Peninsula (within shire of Cook) [16 pages],1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1368661,A9108,ROLL 17/46,Survey - Townsville area [21 pages],1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1368664,A9108,ROLL 17/53,Hynes [5 pages],1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1368667,A9108,ROLL 17/55,Nelson [1cm],1929 - 1945,1929,1945,Open with exception,Canberra,False,0
1368670,A9108,ROLL 17/56,SS ATHENIC - letter [1cm],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1368673,A9108,ROLL 17/58,Faulkner [10 pages],1950 - 1958,1950,1958,Open with exception,Canberra,False,0
1368675,A9108,ROLL 17/57,Austral Bronze Co Pty Ltd [8 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1368678,A9108,ROLL 17/59,Towers of London (Australia) Pty Ltd [3 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1368679,A9108,ROLL 17/50,Gordon [9 pages],1940 - 1950,1940,1950,Open,Canberra,True,9
1368680,A9108,ROLL 17/54,Brundahl [4 pages],1950 - 1950,1950,1950,Open,Canberra,False,0
1502575,A9108,ROLL 13/24,Malayan contribution to Australian Communist Party (ACP) election fund [7 pages],1951 - 1951,1951,1951,Open with exception,Canberra,False,0
1502578,A9108,ROLL 13/25,Bulolo Gold Dredging Co [8 pages],1951 - 1951,1951,1951,Open with exception,Canberra,False,0
1502582,A9108,ROLL 13/27,Joint Coal Board [8 pages],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1502587,A9108,ROLL 13/26,Children's National Theatre [6 pages],1951 - 1951,1951,1951,Open,Canberra,False,0
1502594,A9108,ROLL 13/28,Australian Communist Party [ACP] campaign - Regarding butter [4 pages],1951 - 1951,1951,1951,Open with exception,Canberra,False,0
1502600,A9108,ROLL 13/30,"Incapacitated and Wounded Sailors, Soldiers and Airman's Association, Brisbane [0.5cm]",1951 - 1951,1951,1951,Open with exception,Canberra,False,0
1502608,A9108,ROLL 13/16,Anti-Communist Centre of the Liberation Movement of the Peoples of Russia [1.5cms],1949 - 1958,1949,1958,Open with exception,Canberra,False,0
1502610,A9108,ROLL 13/29,Australian Communist Party [ACP] - Overseas contacts,1943 - 1951,1943,1951,Open,Canberra,False,0
1502616,A9108,ROLL 13/23,Diplomatic and consular representatives in Australia [3cms],1949 - 1949,1949,1949,Open with exception,Canberra,False,0
1502619,A9108,ROLL 13/22,Imperial Chemical Industries [0.5cm],1951 - 1951,1951,1951,Open with exception,Canberra,False,0
1502620,A9108,ROLL 13/9,Fortean Society [4 pages],1948 - 1948,1948,1948,Open,Canberra,False,0
1502621,A9108,ROLL 13/11,American Industrial Research Foundation [12 pages],1949 - 1949,1949,1949,Open,Canberra,False,0
1502622,A9108,ROLL 13/12,Australian Lithuanian Society [1cm],1943 - 1950,1943,1950,Open,Canberra,False,0
1502624,A9108,ROLL 13/17,Communist activities - General [0.5cm],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
1502625,A9108,ROLL 13/18,Russian translation service [0.5cm],1950 - 1950,1950,1950,Open with exception,Canberra,False,0
